applicant_id,platform,cv
TB-012,Bayt,"CAREER OBJECTIVE
Marketing graduate with strong analytical skills looking to enter the agency world and contribute to data-driven campaigns.

EDUCATION
BSc Marketing Analytics – Heriot-Watt University Dubai (2023)
Final Year Project: Consumer sentiment analysis using NLP techniques

INTERNSHIP
Marketing Intern – Impact BBDO, Dubai (Jun–Aug 2022)
- Assisted with audience segmentation reports
- Supported copywriting for three regional campaigns

SKILLS
Python (basic), Google Analytics, Excel, PowerPoint, content writing, English"
TB-013,GulfTalent,"PROFILE
Experienced account manager with 5 years at creative agencies, handling end-to-end client briefs for regional campaigns.

EXPERIENCE
Account Manager – Leo Burnett, Dubai (2020–2024)
- Managed relationships with 6 clients including two Fortune 500 brands
- Led cross-functional teams on a rebranding project worth AED 1.2M
- Increased client retention rate from 72% to 89% over two years

Account Executive – Publicis Middle East (2019–2020)

EDUCATION
BA Advertising and PR – American University of Sharjah (2019)

SKILLS
Client management, campaign planning, budgeting, Salesforce, English and Arabic"
TB-014,Naukrigulf,"SUMMARY
SEO and content specialist with 4 years of experience helping UAE SMEs improve organic search visibility.

EXPERIENCE
SEO Specialist – Digital Nexa, Dubai (2020–2024)
- Improved organic traffic by 65% for 8 client websites within 6 months
- Conducted keyword research and on-page optimization across e-commerce sectors
- Wrote 50+ long-form articles optimized for UAE search behavior

EDUCATION
BSc Computer Science – University of Sharjah (2020)

SKILLS
SEMrush, Ahrefs, WordPress, Google Search Console, HTML basics, English"
TB-015,LinkedIn,"OBJECTIVE
Creative copywriter with 2 years of agency experience, passionate about brand storytelling and Arabic-English bilingual content.

EXPERIENCE
Copywriter – JWT MENA, Dubai (2022–2024)
- Wrote scripts, taglines, and digital copy for 10+ campaigns
- Developed Arabic localization for regional campaigns targeting KSA and UAE audiences
- Collaborated with design team on integrated campaign briefs

EDUCATION
BA English Literature – UAE University, Al Ain (2022)

SKILLS
Bilingual copywriting, storytelling, Adobe InDesign, social media content, Arabic and English"
TB-016,LinkedIn,"PROFESSIONAL SUMMARY
Detail-oriented financial analyst with 3 years of experience in banking and investment analysis in the UAE.

EXPERIENCE
Financial Analyst – Emirates NBD, Dubai (2021–2024)
- Prepared financial models for 15 corporate lending proposals
- Conducted credit risk assessments for SME clients
- Presented monthly portfolio performance reviews to senior management

EDUCATION
BSc Finance – University of Dubai (2021)
CFA Level I (Passed 2022)

SKILLS
Financial modeling, Excel, Bloomberg Terminal, credit analysis, English and Arabic"
TB-017,Bayt,"CAREER OBJECTIVE
Finance graduate seeking an entry-level analyst or operations role at a financial services company in Dubai.

EDUCATION
BSc Accounting and Finance – Brunel University London (2023)
GPA: 3.7/4.0
Dissertation: Impact of ESG criteria on SME financing in the UAE

INTERNSHIP
Finance Intern – Abu Dhabi Islamic Bank (Jun–Sep 2022)
- Reconciled daily bank statements and prepared variance reports
- Assisted in preparing Shariah-compliant loan documentation

SKILLS
Accounting, Excel, QuickBooks, financial reporting, English"
TB-018,GulfTalent,"PROFILE
Compliance officer with 6 years of experience in AML and regulatory compliance for financial institutions in the UAE.

EXPERIENCE
Compliance Officer – First Abu Dhabi Bank (2018–2024)
- Led AML screening for 2,000+ customer accounts annually
- Delivered compliance training to 60 staff members
- Managed regulatory filings with the UAE Central Bank

Senior Compliance Analyst – Mashreq Bank (2016–2018)

EDUCATION
LLB – University of Birmingham (2016)
ACCMS (Anti-Money Laundering Certification, 2018)

SKILLS
AML, KYC, regulatory compliance, legal drafting, English and Arabic"
TB-019,Naukrigulf,"SUMMARY
Insurance operations executive with 4 years of experience in policy administration and claims processing.

EXPERIENCE
Insurance Operations Executive – AXA Gulf, Dubai (2020–2024)
- Processed 500+ insurance claims monthly with 98% accuracy
- Streamlined policy renewal workflow, reducing processing time by 25%
- Coordinated with underwriting team on complex commercial policies

EDUCATION
BBA Insurance and Risk Management – American University in Dubai (2020)

SKILLS
Policy administration, claims processing, insurance systems, Excel, English and Arabic"
TB-020,LinkedIn,"OBJECTIVE
Aspiring investment analyst with strong quantitative skills and a passion for equity research.

EDUCATION
MSc Finance – Cass Business School London (2023)
BSc Economics – University of Sharjah (2022)

INTERNSHIP
Equity Research Intern – Shuaa Capital, Dubai (Jun–Aug 2022)
- Prepared company profiles and valuation summaries for GCC equities
- Built DCF models for three listed companies
- Assisted in producing a weekly market commentary report

SKILLS
DCF modeling, equity research, Python, Bloomberg, English"
TB-021,Bayt,"PROFESSIONAL SUMMARY
HR generalist with 4 years of experience supporting talent acquisition and employee relations for retail and hospitality sectors.

EXPERIENCE
HR Generalist – Landmark Group, Dubai (2020–2024)
- Managed full-cycle recruitment for 200+ roles annually
- Reduced time-to-hire by 30% through structured interview guides
- Handled employee grievances and performance management

EDUCATION
BBA Human Resources – Manipal Academy of Higher Education, Dubai (2020)

SKILLS
Talent acquisition, HRIS (SAP SuccessFactors), labor law, performance management, English and Hindi"
TB-022,GulfTalent,"CAREER OBJECTIVE
Recent business graduate with strong interpersonal skills, seeking a junior HR or admin role in the UAE.

EDUCATION
BA Business Studies – Canadian University Dubai (2024)
GPA: 3.5/4.0

VOLUNTEER
Recruitment Volunteer – Dubai Careers Festival (2023)
- Assisted in screening over 150 walk-in CVs
- Coordinated scheduling for employer interview booths

SKILLS
MS Office, communication, scheduling, team coordination, Arabic and English"
TB-023,LinkedIn,"PROFILE
Proven logistics team leader with expertise in cold chain management for pharmaceutical distribution.

EXPERIENCE
Team Leader – Agility Logistics, Dubai (2019–2024)
- Led a team of 8 handling temperature-sensitive pharma shipments
- Achieved zero cold chain breach incidents over 3 consecutive years
- Introduced barcode scanning to reduce picking errors by 40%

EDUCATION
BSc Supply Chain Management – British University in Dubai (2019)

SKILLS
Cold chain logistics, team leadership, WMS, barcode systems, English and Tagalog"
TB-024,Naukrigulf,"SUMMARY
Sales executive with 3 years in B2B financial services sales, consistently exceeding monthly targets.

EXPERIENCE
Sales Executive – Mashreq Neo, Dubai (2021–2024)
- Acquired 120+ new SME banking clients in FY2023
- Upsold business accounts, contributing AED 3.2M in new deposits
- Built and maintained a pipeline of 250+ qualified leads via CRM

EDUCATION
BBA Finance – Abu Dhabi University (2021)

SKILLS
B2B sales, CRM (Salesforce), financial products, negotiation, English and Arabic"
TB-025,LinkedIn,"OBJECTIVE
Marketing coordinator with 2 years of experience in performance marketing and influencer campaign management.

EXPERIENCE
Marketing Coordinator – Amplify Agency, Dubai (2022–2024)
- Coordinated influencer briefs and deliverables for 12 brand campaigns
- Tracked campaign KPIs using Meta Business Suite and TikTok Ads Manager
- Assisted in producing monthly client performance decks

EDUCATION
BA Media and Communications – Murdoch University Dubai (2022)

SKILLS
Influencer marketing, Meta Business Suite, TikTok Ads, Excel, English"
TB-026,Bayt,"PROFESSIONAL SUMMARY
Experienced procurement officer with 5 years of sourcing and vendor management experience in retail supply chains.

EXPERIENCE
Procurement Officer – Majid Al Futtaim Retail, Dubai (2019–2024)
- Managed AED 15M annual procurement budget across 6 product categories
- Negotiated contracts reducing supplier costs by 12%
- Onboarded 20+ new regional suppliers

EDUCATION
BSc Business Administration – University of Wollongong Dubai (2019)
CIPS Level 4 (Completed 2021)

SKILLS
Procurement, vendor management, contract negotiation, SAP MM, English and Arabic"
TB-027,GulfTalent,"CAREER OBJECTIVE
Fresh finance graduate looking for an accounts payable or treasury operations role in a UAE financial institution.

EDUCATION
BSc Accounting – Sharjah University (2024)

INTERNSHIP
Accounts Payable Intern – Dubai Islamic Bank (Jan–Apr 2024)
- Processed 300+ vendor invoices monthly with 100% accuracy
- Reconciled supplier statements and resolved payment discrepancies

SKILLS
Accounts payable, Oracle ERP (basic), Excel, communication, Arabic and English"
TB-028,LinkedIn,"PROFILE
Retail buyer with 4 years of experience in fashion buying and category management for fast fashion brands.

EXPERIENCE
Assistant Buyer – H&M UAE (2020–2024)
- Managed a portfolio of 80+ SKUs across women's accessories category
- Analyzed sales data to inform seasonal buying decisions
- Coordinated with suppliers in Turkey and Bangladesh

EDUCATION
BSc Fashion Business Management – Istituto Marangoni Dubai (2020)

SKILLS
Category management, sales analysis, supplier coordination, Excel, English and French"
TB-029,Naukrigulf,"SUMMARY
Marketing analyst with 3 years of experience in consumer insights and market research for FMCG companies.

EXPERIENCE
Marketing Analyst – Unilever Gulf, Dubai (2021–2024)
- Conducted quarterly consumer surveys across UAE and KSA (1,000+ respondents)
- Delivered insights reports that informed 4 product launches
- Used SPSS and Excel for quantitative data analysis

EDUCATION
BSc Marketing – University of Wollongong Dubai (2021)

SKILLS
Market research, SPSS, Excel, consumer insights, survey design, English and Arabic"
TB-030,LinkedIn,"CAREER OBJECTIVE
Driven logistics graduate with internship experience, eager to build expertise in supply chain analytics.

EDUCATION
BSc Logistics and Transport – Heriot-Watt University Dubai (2024)

INTERNSHIP
Supply Chain Intern – DP World, Jebel Ali (Mar–Jun 2024)
- Supported the operations team in tracking port KPIs
- Assisted in preparing weekly vessel turnaround reports

SKILLS
Supply chain basics, Excel, Power BI (beginner), communication, English and Urdu"
TB-031,Bayt,"PROFESSIONAL SUMMARY
Financial services professional with 3 years of experience in wealth management client services.

EXPERIENCE
Client Services Associate – HSBC Private Bank, Dubai (2021–2024)
- Managed administrative support for a portfolio of 60 UHNW clients
- Processed account documentation in full compliance with DIFC regulations
- Coordinated client onboarding with KYC and compliance teams

EDUCATION
BBA Finance – IE Business School Madrid (2021)

SKILLS
Wealth management, client services, KYC, MS Office, English, Arabic, and Spanish"
TB-032,GulfTalent,"OBJECTIVE
Recent marketing graduate with digital skills and a creative portfolio, seeking an entry role at a creative or media agency.

EDUCATION
BA Graphic Design and Marketing – Middlesex University Dubai (2024)

INTERNSHIP
Design Intern – FP7/McCann, Dubai (Jul–Sep 2023)
- Designed social media assets for two MENA-region FMCG campaigns
- Participated in creative brainstorming sessions

SKILLS
Adobe Creative Suite, Figma, social media design, basic HTML, English and Arabic"
TB-033,LinkedIn,"PROFILE
Highly organized supply chain planner with 4 years of experience in demand forecasting for consumer electronics retail.

EXPERIENCE
Demand Planner – Jumbo Electronics, Dubai (2020–2024)
- Built forecast models for 500+ SKUs using historical sales data
- Reduced overstock by 20% and out-of-stock incidents by 35%
- Collaborated with commercial team on new product launches

EDUCATION
BSc Industrial Engineering – American University of Sharjah (2020)

SKILLS
Demand planning, SAP APO, Excel, statistical forecasting, English"
TB-034,Naukrigulf,"SUMMARY
Accounts executive with 3 years of experience in financial reporting and client billing for a logistics company.

EXPERIENCE
Accounts Executive – GAC Group, Dubai (2021–2024)
- Managed monthly invoicing for 40+ international logistics clients
- Prepared P&L statements and variance analyses for management
- Assisted external auditors during annual audit process

EDUCATION
BSc Accounting – Ajman University (2021)
ACCA Part Qualified (F1–F5 cleared)

SKILLS
Financial reporting, SAGE 50, billing, audit support, English and Arabic"
TB-035,LinkedIn,"CAREER OBJECTIVE
Communications graduate with content creation and public relations skills, seeking a junior PR or comms role.

EDUCATION
BA Public Relations – Zayed University, Abu Dhabi (2023)

INTERNSHIP
PR Intern – Edelman UAE, Abu Dhabi (May–Aug 2022)
- Drafted press releases and media pitches for two government clients
- Monitored media coverage and compiled daily clipping reports

SKILLS
Press release writing, media monitoring, Meltwater, MS Office, English and Arabic"
TB-036,Bayt,"PROFESSIONAL SUMMARY
Business development executive with 4 years of experience generating new accounts in the B2B retail services sector.

EXPERIENCE
Business Development Executive – Retail Pro Services, Dubai (2020–2024)
- Generated AED 2.8M in new business over 2 years
- Built partnerships with 35 new retail SME clients
- Managed the full sales cycle from prospecting to contract signing

EDUCATION
BBA – University of Sharjah (2020)

SKILLS
Business development, B2B sales, contract negotiation, HubSpot CRM, English and Arabic"
TB-037,GulfTalent,"OBJECTIVE
Logistics and operations professional with 2 years of experience, looking to transition into an operations analyst role.

EXPERIENCE
Operations Assistant – Transguard Group, Dubai (2022–2024)
- Coordinated daily movement of 15 high-value cargo consignments
- Maintained compliance documentation for UAE customs requirements
- Produced weekly status reports for operations management

EDUCATION
BA Business Administration – Abu Dhabi University (2022)

SKILLS
Operations coordination, customs compliance, reporting, MS Excel, English"
TB-038,LinkedIn,"PROFILE
Experienced marketing manager with 7 years leading integrated campaigns for UAE financial services brands.

EXPERIENCE
Marketing Manager – Dubai Islamic Bank (2017–2024)
- Led a team of 5 and managed an AED 4M annual marketing budget
- Launched 3 digital banking products using an omnichannel approach
- Increased brand awareness scores by 18 points over 2 years

EDUCATION
MBA – S.P. Jain School of Global Management, Dubai (2017)
BBA – University of Sharjah (2015)

SKILLS
Marketing strategy, campaign management, budget planning, market research, English and Arabic"
TB-039,Naukrigulf,"CAREER OBJECTIVE
Entry-level finance professional with hands-on internship experience and a strong academic record.

EDUCATION
BSc Finance and Banking – University of Dubai (2024)
GPA: 3.8/4.0
Award: Dean's List 2022, 2023

INTERNSHIP
Credit Analyst Intern – Commercial Bank of Dubai (Sep–Dec 2023)
- Assisted in preparing credit appraisal reports for 10 SME clients
- Analyzed financial statements and cash flow projections

SKILLS
Financial analysis, credit assessment, Excel, PowerPoint, Arabic and English"
TB-040,LinkedIn,"SUMMARY
Talented retail store manager with 8 years of progressive experience in the UAE fashion retail industry.

EXPERIENCE
Store Manager – Mango UAE, Abu Dhabi (2019–2024)
- Managed a team of 18 and delivered consistent monthly sales growth of 8%
- Implemented a new training program that cut staff turnover by 25%
- Oversaw store P&L with an annual revenue of AED 9M

Assistant Store Manager – Mango (2016–2019)

EDUCATION
BBA Retail Management – Higher Colleges of Technology (2016)

SKILLS
Store management, P&L oversight, staff training, retail operations, English and Arabic"
TB-041,Bayt,"OBJECTIVE
Logistics graduate with strong interest in supply chain sustainability, seeking a role in green logistics operations.

EDUCATION
BSc Environmental Logistics – University of Bradford (UK), 2023
Dissertation: Carbon footprint reduction strategies in GCC logistics

INTERNSHIP
Green Logistics Intern – Emirates SkyCargo (Jun–Aug 2022)
- Analysed fuel consumption data for cargo fleet
- Assisted in reporting scope 2 emissions for ESG disclosure

SKILLS
Carbon accounting, Excel, logistics operations basics, research, English"
TB-042,GulfTalent,"PROFILE
Seasoned financial planner with 5 years of personal financial advisory experience serving UAE expat community.

EXPERIENCE
Financial Advisor – Nexus Group, Dubai (2019–2024)
- Managed a portfolio of 80 personal finance clients with AED 12M AUM
- Achieved 92% client retention through proactive portfolio reviews
- Specialized in pension planning and offshore investment products

EDUCATION
BSc Finance – University of Manchester (2019)
CFP Certification (2021)

SKILLS
Financial planning, investment advisory, CFP, pension planning, English"
TB-043,LinkedIn,"CAREER OBJECTIVE
Data-driven marketing graduate keen to work in performance analytics at a digital marketing agency.

EDUCATION
BSc Business Intelligence – Canadian University Dubai (2024)
Final Year Project: Attribution modeling for e-commerce campaigns

INTERNSHIP
Digital Analytics Intern – Publicis Sapient MENA (Apr–Jul 2023)
- Set up GA4 tracking for 3 client websites
- Built performance dashboards in Looker Studio

SKILLS
GA4, Looker Studio, Python, SQL (basic), Excel, English"
TB-044,Naukrigulf,"SUMMARY
Warehouse manager with 9 years of experience in large-scale FMCG distribution, managing multi-shift operations.

EXPERIENCE
Warehouse Manager – Al Rawabi Dairy, Dubai (2015–2024)
- Led a team of 35 across 3 warehouse shifts
- Achieved 99.8% order accuracy rate over 18 consecutive months
- Led the transition to a new WMS reducing operational costs by AED 800K annually

EDUCATION
BSc Operations Management – Coventry University Ras Al Khaimah (2015)

SKILLS
Warehouse management, WMS, team leadership, FMCG logistics, English and Arabic"
TB-045,LinkedIn,"OBJECTIVE
Ambitious retail professional with 3 years of e-commerce operations experience, looking to grow in omnichannel retail.

EXPERIENCE
E-commerce Operations Executive – Namshi, Dubai (2021–2024)
- Managed listing, pricing, and catalogue updates for 5,000+ SKUs
- Coordinated with the warehouse team on return and refund processing
- Monitored site performance and flagged anomalies to the tech team

EDUCATION
BSc E-commerce and Digital Marketing – Amity University Dubai (2021)

SKILLS
E-commerce operations, Shopify, product catalogue management, Excel, English and Hindi"
TB-046,Bayt,"PROFILE
HR and payroll specialist with 4 years of experience handling end-to-end payroll processing for SMEs.

EXPERIENCE
Payroll & HR Specialist – Raya HR Solutions, Dubai (2020–2024)
- Processed payroll for 600+ employees across 12 client organizations monthly
- Ensured compliance with UAE WPS (Wages Protection System)
- Managed end-of-service benefit calculations and final settlements

EDUCATION
BBA Human Resources – Ajman University (2020)

SKILLS
Payroll processing, WPS compliance, HRIS, labor law, Arabic and English"
TB-047,GulfTalent,"CAREER OBJECTIVE
Business graduate with a passion for financial technology, seeking a junior role in fintech operations or product support.

EDUCATION
BSc Information Technology (Business) – Rochester Institute of Technology Dubai (2024)

INTERNSHIP
Fintech Operations Intern – PayBy UAE (Feb–May 2024)
- Tested new payment gateway features and logged defects
- Assisted in onboarding documentation for 15 merchant clients

SKILLS
Fintech basics, QA testing, product documentation, SQL, English"
TB-048,LinkedIn,"SUMMARY
Experienced account manager with 5 years of success in media and advertising sales across print and digital channels.

EXPERIENCE
Account Manager – ITP Media Group, Dubai (2019–2024)
- Managed AED 5M annual advertising revenue across 6 magazine and digital titles
- Grew key account revenues by 20% year-on-year in 2022 and 2023
- Developed cross-platform advertising packages for SME and enterprise clients

EDUCATION
BA Media Studies – University of Westminster (2019)

SKILLS
Media sales, account management, negotiation, CRM, English and Arabic"
TB-049,Naukrigulf,"OBJECTIVE
Entry-level marketing professional with event coordination experience, targeting a role in B2B marketing.

EDUCATION
BA Marketing – University of Sharjah (2023)

PART-TIME / FREELANCE
Event Marketing Assistant – GITEX Global, Dubai (Oct 2022 and Oct 2023)
- Supported registration and visitor journey for 90,000+ attendees
- Coordinated exhibitor communications and floor plan distribution

SKILLS
Event coordination, MS Office, social media, stakeholder communication, Arabic and English"
TB-050,LinkedIn,"PROFILE
Senior logistics operations professional with 10 years of GCC experience in freight brokerage and 3PL account management.

EXPERIENCE
Senior Operations Manager – Gulf Warehousing Company, Doha / Dubai (2014–2024)
- Directed operations for a 45,000 sqm multi-client warehouse facility
- Managed contracts worth QAR 22M with 8 blue-chip clients
- Led ISO 9001:2015 recertification project

EDUCATION
MBA Logistics and Supply Chain – University of Hull (2014)
BSc Business – Qatar University (2012)

SKILLS
Operations management, 3PL, ISO compliance, contract management, English and Arabic"
