record_id,company_sector,interview_transcript
TC2-019,Hospitality,The employee left after witnessing what they described as favouritism in shift allocation and overtime distribution. They felt that certain colleagues consistently received preferential treatment. They raised the concern informally with a supervisor but saw no change. They believe clearer and more transparent scheduling policies would improve staff morale overall.
TC2-020,Hospitality,The employee resigned after being offered a significantly higher salary by a competitor in the same industry. They stated that compensation was the sole driver of their decision and that they had no other complaints. They described their manager as supportive and the team as cohesive. They would have stayed had a counter-offer been made.
TC2-021,Construction and Engineering,"The employee left after repeated safety concerns on the project site were not addressed. They had raised issues with protective equipment and scaffolding standards on two occasions. Feeling that their safety was compromised, they chose to resign. They stated they would not return to any organisation that did not treat site safety as its top priority."
TC2-022,Construction and Engineering,The employee resigned after being assigned to a project in a remote location for an extended period without the allowance that had been discussed during onboarding. They felt misled about the working conditions and felt that HR was not responsive when they raised the discrepancy. The financial impact was the main reason for their departure.
TC2-023,Construction and Engineering,The employee left due to a prolonged delay in processing their employment visa renewal. The uncertainty created significant personal stress and affected their ability to plan. They acknowledged the administrative complexity but felt the company could have communicated more proactively throughout the process. They are joining a company with a more organised PRO function.
TC2-024,Construction and Engineering,The employee resigned following a disagreement over project credit. They felt their technical contributions to a key infrastructure tender were not acknowledged in the final presentation to the client. They raised the issue with the project director but did not feel their concerns were taken seriously. Recognition and attribution were cited as the core issue.
TC2-025,Construction and Engineering,"The employee left after the company downsized their department following a contract loss. Although they were not made redundant, their role changed significantly and they felt underutilised. They were offered an alternative position but declined as it was in a different discipline. They are seeking a role that matches their engineering specialisation more closely."
TC2-026,Construction and Engineering,The employee resigned due to a lack of mentorship and technical guidance in their early career stage. They joined expecting structured supervision from senior engineers but were given independent responsibilities from their first week. They expressed no resentment but felt the environment was not suited to early-career professionals without more support structures in place.
TC2-027,Construction and Engineering,The employee left after their line manager was reassigned and their new manager had a very different working style. Communication became infrequent and project feedback almost non-existent. They attempted to address this directly but saw little improvement. They emphasised that the relationship with their previous manager had been a key reason they stayed as long as they did.
TC2-028,Construction and Engineering,The employee resigned following consistent overtime without compensation. They worked an average of twelve additional hours per week over eight months and were told it was expected during project delivery phases. They acknowledged the industry norms but felt the lack of any recognition or time off in lieu was unsustainable. Workload balance was the primary concern.
TC2-029,Construction and Engineering,The employee left to complete a postgraduate qualification that would require full-time study. They requested a leave of absence but the company policy did not support extended unpaid leave. They expressed appreciation for their time with the company and said they would consider returning once qualified. Career development was described as a long-term priority.
TC2-030,Construction and Engineering,"The employee resigned after noticing a pattern of decisions being made without input from the technical team. They felt that commercial considerations consistently overrode engineering recommendations, creating quality risks. They raised the issue twice in project review meetings but felt their concerns were minimised. Professional integrity was cited as the reason for leaving."
TC2-031,Technology,"The employee left after a promised equity package was restructured following a funding round, significantly reducing their expected allocation. They felt the change was not communicated transparently and that their contribution to the company's early growth was not reflected in the revised terms. Compensation and fairness were the primary reasons for departure."
TC2-032,Technology,The employee resigned due to a poor work-life balance stemming from an always-on culture. They received messages and calls outside working hours regularly and felt unable to disconnect. They had raised the issue with their team lead but saw no change in expectations. They are seeking a role with a more structured approach to working hours.
TC2-033,Technology,The employee left after the product roadmap they had been hired to deliver was shelved following a strategic pivot. They felt their skills were no longer being utilised and that the new direction did not align with their career goals. They bore no ill will toward the company but felt it was the right time to find a role more aligned with their expertise.
TC2-034,Technology,The employee resigned after experiencing repeated instances of their ideas being presented by others without credit. They described a culture where junior team members were not given adequate visibility in client or leadership meetings. They raised the issue with their manager informally but felt the response was dismissive. Recognition was cited as a key unmet need.
TC2-035,Technology,The employee left following a merger that introduced a new management layer and significantly changed internal processes. They felt the culture shifted away from the startup environment they had joined. Decision-making became slower and less collaborative. They expressed that they thrive in agile environments and are seeking a smaller organisation where they can have broader impact.
TC2-036,Technology,The employee resigned after the remote work policy was reversed and full-time office attendance was reinstated. They had structured their personal life around the flexibility offered when they joined. They acknowledged the company's right to change policy but felt the transition timeline was insufficient. Flexibility was described as a non-negotiable requirement going forward.
TC2-037,Technology,The employee left after being passed over for a team lead role that was given to an external hire. They felt they had demonstrated readiness and had received positive feedback from their manager. No adequate explanation was provided for the external hire decision. They are joining a company where they have been offered a lead position directly.
TC2-038,Technology,"The employee resigned due to repeated delays in receiving their monthly salary. Over a period of four months, payments were consistently late by one to two weeks. They raised the issue with finance and HR but were given vague explanations each time. Financial reliability was cited as a fundamental requirement and the main reason for leaving."
TC2-039,Technology,"The employee left following the departure of a manager who had been a key sponsor and advocate for them within the organisation. After their manager left, they felt less supported and noticed a reduction in the quality of projects assigned to them. They believe the change in internal dynamics made their position less fulfilling and less visible."
TC2-040,Technology,"The employee resigned to join a competitor offering a significantly higher salary and a senior title. They stated that despite enjoying their role and team, the financial gap was too significant to ignore. They expressed that a more competitive compensation review process might have led to a different outcome. No other workplace concerns were raised."
TC2-041,Retail,The employee resigned after the store moved to a new location that extended their daily commute significantly. They explored carpooling and alternative routes but found no viable solution. They expressed genuine satisfaction with their role and colleagues and stated the decision was purely logistical. They are looking for a similar role closer to their new area of residence.
TC2-042,Hospitality,The employee left after being asked to take on front desk responsibilities in addition to their existing housekeeping supervisory duties without any change in their job title or salary. They felt the additional workload was unfair and raised the issue twice with management without a satisfactory outcome. Role clarity and fair compensation were cited as key concerns.
TC2-043,Construction and Engineering,The employee resigned after discovering that colleagues hired at a similar time and with comparable qualifications were earning considerably more. The pay disparity came to light during a casual conversation. They raised the issue formally with HR but were told salary bands could not be discussed. Pay equity and transparency were the primary drivers of their departure.
TC2-044,Technology,The employee left because the company was unable to support their visa sponsorship for a dependent family member. This was a personal priority that affected their decision to remain in the UAE. They had explored all available options with HR but the company policy did not extend to the category of dependent they required. No workplace dissatisfaction was expressed.
TC2-045,Retail,The employee resigned after raising a concern about a colleague's conduct that they felt was not investigated appropriately. They described feeling that the complaint process was informal and lacked confidentiality. They lost trust in the HR function as a result. They are seeking a workplace with a more structured and impartial approach to employee relations.
TC2-046,Hospitality,The employee left to explore self-employment in catering and events. They credited the company with helping them develop strong culinary and guest service skills. No workplace concerns were raised. They expressed gratitude toward their line manager and the team. They acknowledged that the entrepreneurial path carried risk but said it was a personal goal they had held for several years.
TC2-047,Construction and Engineering,"The employee resigned after the company relocated its main operations office to a different emirate. They were offered a relocation package but felt it was insufficient to cover the disruption to their family life. After careful consideration, they declined the relocation and resigned. They hold no negative views of the company and would consider remote or hybrid collaboration in the future."
TC2-048,Technology,The employee left after working for fourteen months without a formal performance review or salary increment discussion. They had requested a review on two occasions but it was deferred each time. They felt undervalued and unsure of their standing within the team. A structured and consistent performance management process was identified as a significant gap in the organisation.
TC2-049,Retail,The employee resigned after their fixed-term contract ended and the company was unable to confirm renewal within a reasonable timeframe. The uncertainty made it difficult for them to plan financially and professionally. They accepted an offer from another employer that provided a longer contract with greater stability. They expressed interest in returning if a permanent position became available.
TC2-050,Hospitality,The employee left after a period of significant personal stress that they felt was not adequately supported by the company. They had requested a temporary reduction in hours but the request was denied. They acknowledged the operational constraints but felt that more flexibility during a difficult time would have made a meaningful difference. Employee wellbeing support was highlighted as an area for improvement.
